ID,Título Serie o Película,Duración,Género,Calificación,Fecha,ID Episodio,Título Episodio,Temporada,Episodio
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.2,2015–2019,tt6227020,Eat a Knievel,3,8
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.6,2015–2019,tt6351968,"Twenty-Sided, Die",3,9
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.4,2015–2019,tt6340202,Return of the Dead Guy,3,10
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.5,2015–2019,tt6432358,Conspiracy Weary,3,11
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.8,2015–2019,tt6340066,"Looking for Mr. Goodbrain, Part 2",3,13
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.0,2015–2019,tt6889246,Are You Ready for Some Zombies?,4,1
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",7.9,2015–2019,tt7291774,Blue Bloody,4,2
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.1,2015–2019,tt7360222,"Brainless in Seattle, Part 1",4,3
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.2,2015–2019,tt7457718,Goon Struck,4,5
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.3,2015–2019,tt7517336,My Really Fair Lady,4,6
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",7.9,2015–2019,tt7538714,"Don't Hate the Player, Hate the Brain",4,7
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.0,2015–2019,tt7575114,Chivalry is Dead,4,8
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.1,2015–2019,tt7653510,Mac-Liv-Moore,4,9
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.2,2015–2019,tt7653516,"Yipee Ki Brain, Motherscratcher!",4,10
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.5,2015–2019,tt7689514,Insane in the Germ Brain,4,11
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",9.3,2015–2019,tt7980670,And He Shall Be a Good Man,4,13
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.0,2015–2019,tt8479322,Thug Death,5,1
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",7.9,2015–2019,tt8918960,Dead Lift,5,2
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.3,2015–2019,tt8951666,"Five, Six, Seven, Ate!",5,3
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",7.9,2015–2019,tt9180076,The Scratchmaker,5,6
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",N/A,2015–2019,tt9407892,Filleted To Rest,5,7
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",7.7,2015–2019,tt9382170,Death of a Car Salesman,5,8
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",7.9,2015–2019,tt9377044,The Fresh Princess,5,9
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.1,2015–2019,tt9511482,Night and the Zombie City,5,10
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",7.8,2015–2019,tt9445556,Killer Queen,5,11
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",N/A,2015–2019,tt9651738,Episode #5.12,5,12
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.5,2015–2019,tt9651752,All's Well That Ends Well,5,13
tt0472181,The Smurfs,103 min,"Animation, Adventure, Comedy, Family, Fantasy",5.4,2011,,,,
tt0103873,Dead Alive,104 min,"Comedy, Horror",7.5,1992,,,,
tt0106308,Army of Darkness,81 min,"Comedy, Horror",7.5,1992,,,,
tt0046183,Peter Pan,77 min,"Animation, Adventure, Family, Fantasy, Musical",7.3,1953,,,,
tt0199753,Red Planet,106 min,"Action, Sci-Fi, Thriller",5.7,2000,,,,
tt0120647,Deep Impact,120 min,"Action, Drama, Romance, Sci-Fi, Thriller",6.2,1998,,,,
tt0116908,The Long Kiss Goodnight,121 min,"Action, Crime, Drama, Mystery, Thriller",6.8,1996,,,,
tt1051904,Goosebumps,103 min,"Adventure, Comedy, Family, Fantasy, Horror",6.3,2015,,,,
tt0468569,The Dark Knight,152 min,"Action, Crime, Drama, Thriller",9.0,2008,,,,
tt0305669,Bringing Down the House,105 min,Comedy,5.6,2003,,,,
tt0114369,Se7en,127 min,"Crime, Drama, Mystery, Thriller",8.6,1995,,,,
tt0241303,Chocolat,121 min,"Drama, Romance",7.2,2000,,,,
tt1440728,The American,105 min,"Crime, Drama, Thriller",6.3,2010,,,,
tt0112346,The American President,114 min,"Comedy, Drama, Romance",6.8,1995,,,,
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.0,2011–,tt1480055,Winter Is Coming,1,1
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.8,2011–,tt1668746,The Kingsroad,1,2
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.7,2011–,tt1829962,Lord Snow,1,3
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.8,2011–,tt1829963,"Cripples, Bastards, and Broken Things",1,4
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.1,2011–,tt1829964,The Wolf and the Lion,1,5
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.2,2011–,tt1837862,A Golden Crown,1,6
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.2,2011–,tt1837863,You Win or You Die,1,7
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.0,2011–,tt1837864,The Pointy End,1,8
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.6,2011–,tt1851398,Baelor,1,9
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.5,2011–,tt1851397,Fire and Blood,1,10
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.8,2011–,tt1971833,The North Remembers,2,1
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.5,2011–,tt2069318,The Night Lands,2,2
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.8,2011–,tt2070135,What Is Dead May Never Die,2,3
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.8,2011–,tt2069319,Garden of Bones,2,4
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.8,2011–,tt2074658,The Ghost of Harrenhal,2,5
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.1,2011–,tt2085238,The Old Gods and the New,2,6
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.9,2011–,tt2085239,A Man Without Honor,2,7
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.8,2011–,tt2085240,The Prince of Winterfell,2,8
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.7,2011–,tt2084342,Blackwater,2,9
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",9.4,2011–,tt2112510,Valar Morghulis,2,10
tt0944947,Game of Thrones,57 min,"Action, Adventure, Drama, Fantasy, Romance",8.8,2011–,tt2178782,Valar Dohaeris,3,1
